service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
PROJET2025-42-Samedi-09-42,0,0,0,0,0,1,0,20260110,20260307
JANV2026-18-Samedi-39-18,0,0,0,0,0,1,0,20260110,20260307
JANV2026-18-Dimanche-43-18,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-34-Samedi-23-34,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-34-Semaine-23-34,1,1,1,1,1,0,0,20260216,20260227
PROJET2026-34-Mercredi-23-34,0,0,1,0,0,0,0,20260107,20260304
PROJET2024-NavAur-Samedi-02-NAur,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-NavAur-Dimanche-02-NAur,0,0,0,0,0,0,1,20260111,20260308
PROJET2024-88-Samedi-83-88,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-88-Semaine-84-88,1,1,1,1,1,0,0,20260216,20260227
PROJET2024-88-Mercredi-85-88,0,0,1,0,0,0,0,20260107,20260304
JANV2026-64-Samedi-37-64,0,0,0,0,0,1,0,20260110,20260307
JANV2026-64-Dimanche-36-64,0,0,0,0,0,0,1,20260111,20260308
PROJET2024-88-Dimanche-77-88,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-50-Samedi-08-50,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-50-Dimanche-08-50,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-50-Semaine-07-50,1,1,1,1,1,0,0,20260216,20260227
PROJET2025-71-Dimanche-76-71,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-71-Samedi-81-71,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-NVence1-Samedi-15-NVN1,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-67-Mercredi-08-67,0,0,1,0,0,0,0,20260107,20260304
JANV2026-99-Samedi-12-99,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-62-Samedi-10-62,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-62-Dimanche-10-62,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-55-Samedi-10-55,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-55-Dimanche-06-55,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-31-Samedi-02-31,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-83-Dimanche-05-83,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-83-Samedi-05-83,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-NVence3-Samedi-12-NVN3,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-82-Dimanche-85-82,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-82-Samedi-82-82,0,0,0,0,0,1,0,20260110,20260307
JANV2026-99-Dimanche-12-99,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-FOOT-Samedi-03-FOOT,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-FOOT-Dimanche-03-FOOT,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-LIsola-Samedi-15-LIso,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-LIsola-Dimanche-15-LIso,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-LIsola-Semaine-15-LIso,1,1,1,1,1,0,0,20260216,20260227
PROJET2025-K-Mercredi-02-K,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-86-Mercredi-07-86,0,0,1,0,0,0,0,20260107,20260304
PROJET2026-C-Mercredi-05-C,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-77-Mercredi-05-77,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-90-Dimanche-23-90,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-90-Samedi-23-90,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-AURON4-Semaine-12-AUR4,1,1,1,1,1,0,0,20260209,20260306
PROJET2025-AURON4-Samedi-12-AUR4,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-AURON4-Dimanche-12-AUR4,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-744-Lundi-07-744,1,0,0,0,0,0,0,20260112,20260302
PROJET2025-744-Vendredi-10-744,0,0,0,0,1,0,0,20260109,20260306
PROJET2025-39-Mercredi-01-39,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-39-Samedi-03-39,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-743-Lundi-08-743,1,0,0,0,0,0,0,20260112,20260302
PROJET2026-743-Vendredi-08-743,0,0,0,0,1,0,0,20260116,20260306
