service_id,date,exception_type
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260305,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260306,2
PVS2025-26-L3-Semaine-12-L3,20260220,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260113,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260114,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260115,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260116,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260120,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260121,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260122,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260123,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260127,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260128,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260129,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260130,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260203,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260204,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260205,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260206,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260210,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260211,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260212,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260213,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260217,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260218,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260219,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260220,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260221,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260224,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260225,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260226,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260227,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260228,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260303,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260304,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260305,2
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,20260306,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260110,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260117,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260124,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260131,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260207,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260214,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260217,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260218,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260219,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260220,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260221,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260224,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260225,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260226,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260227,2
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,20260228,2
chouette:TimeTable:530d7513-62db-4e0c-8c95-64eb7b7b233a:LOC,20260221,2
PROJET2025-22-Mercredi-21-22,20260218,2
PROJET2025-22-Mercredi-21-22,20260225,2
PROJET2025-19-Mercredi-23-19,20260218,2
PROJET2025-19-Mercredi-23-19,20260225,2
PROJET2025-63-Mercredi-66-63,20260218,2
PROJET2025-63-Mercredi-66-63,20260225,2
PVS2025-26-L2-Semaine-12-L2,20260220,2
JANV2026-L2-Semaine-10-L2,20260112,2
JANV2026-L2-Semaine-10-L2,20260113,2
JANV2026-L2-Semaine-10-L2,20260114,2
JANV2026-L2-Semaine-10-L2,20260115,2
JANV2026-L2-Semaine-10-L2,20260119,2
